Log saved to: /home/pi/2021-11-04_14h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-04 14:00:06
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-05 11:35:19.50 STOP MOTION ----------
2021-11-05 11:36:02.903 START MOTION ---------
2021-11-05 11:36:08.422 STOP MOTION ----------
2021-11-05 11:37:59.896 START MOTION ---------
2021-11-05 11:38:05.684 STOP MOTION ----------
2021-11-05 11:40:19.476 START MOTION ---------
2021-11-05 11:40:27.503 STOP MOTION ----------
2021-11-05 11:40:29.905 START MOTION ---------
2021-11-05 11:40:34.504 STOP MOTION ----------
2021-11-05 11:41:42.820 START MOTION ---------
2021-11-05 11:41:50.792 STOP MOTION ----------
2021-11-05 11:42:58.724 START MOTION ---------
2021-11-05 11:43:02.998 STOP MOTION ----------
2021-11-05 11:46:36.424 START MOTION ---------
2021-11-05 11:46:38.778 STOP MOTION ----------
2021-11-05 11:57:59.448 START MOTION ---------
2021-11-05 11:58:16.855 STOP MOTION ----------
2021-11-05 11:58:24.708 START MOTION ---------
2021-11-05 11:58:28.626 STOP MOTION ----------
2021-11-05 11:58:32.708 START MOTION ---------
2021-11-05 11:58:38.754 STOP MOTION ----------
2021-11-05 11:59:59.537 START MOTION ---------
2021-11-05 12:00:14.492 STOP MOTION ----------
2021-11-05 12:10:06.502 START MOTION ---------
2021-11-05 12:10:16.378 STOP MOTION ----------
2021-11-05 12:13:10.636 START MOTION ---------
2021-11-05 12:13:15.382 STOP MOTION ----------
2021-11-05 12:15:03.541 START MOTION ---------
2021-11-05 12:15:18.164 STOP MOTION ----------
2021-11-05 12:30:50.314 START MOTION ---------
2021-11-05 12:30:55.184 STOP MOTION ----------
2021-11-05 12:38:41.450 START MOTION ---------
2021-11-05 12:38:45.502 STOP MOTION ----------
2021-11-05 12:42:35.470 START MOTION ---------
2021-11-05 12:42:39.825 STOP MOTION ----------
2021-11-05 12:49:15.895 START MOTION ---------
2021-11-05 12:49:22.335 STOP MOTION ----------
2021-11-05 12:49:57.933 START MOTION ---------
2021-11-05 12:50:04.93 STOP MOTION ----------
2021-11-05 13:03:26.99 START MOTION ---------
2021-11-05 13:03:28.126 STOP MOTION ----------
2021-11-05 13:09:20.998 START MOTION ---------
2021-11-05 13:09:25.223 STOP MOTION ----------
2021-11-05 13:10:13.249 START MOTION ---------
2021-11-05 13:10:21.785 STOP MOTION ----------
2021-11-05 13:11:12.244 START MOTION ---------
2021-11-05 13:11:14.620 STOP MOTION ----------
2021-11-05 13:11:39.630 START MOTION ---------
2021-11-05 13:11:42.973 STOP MOTION ----------
2021-11-05 13:13:47.893 START MOTION ---------
2021-11-05 13:13:57.652 STOP MOTION ----------
2021-11-05 13:16:22.123 START MOTION ---------
2021-11-05 13:16:27.50 STOP MOTION ----------
2021-11-05 13:32:53.556 START MOTION ---------
2021-11-05 13:33:09.421 STOP MOTION ----------
2021-11-05 13:33:39.872 START MOTION ---------
2021-11-05 13:33:58.425 STOP MOTION ----------
2021-11-05 13:34:46.552 START MOTION ---------
2021-11-05 13:34:51.626 STOP MOTION ----------
2021-11-05 13:39:33.806 START MOTION ---------
2021-11-05 13:39:56.391 STOP MOTION ----------
2021-11-05 13:41:31.974 START MOTION ---------
2021-11-05 13:41:40.628 STOP MOTION ----------
2021-11-05 13:47:01.919 START MOTION ---------
2021-11-05 13:47:04.749 STOP MOTION ----------
2021-11-05 13:47:33.776 START MOTION ---------
2021-11-05 13:47:39.452 STOP MOTION ----------
2021-11-05 13:51:45.378 START MOTION ---------
2021-11-05 13:51:50.574 STOP MOTION ----------
2021-11-05 13:52:45.871 START MOTION ---------
2021-11-05 13:52:49.406 STOP MOTION ----------
2021-11-05 13:53:55.273 START MOTION ---------
2021-11-05 13:53:58.251 STOP MOTION ----------
2021-11-05 13:55:02.600 START MOTION ---------
2021-11-05 13:55:07.675 STOP MOTION ----------
2021-11-05 13:55:47.231 START MOTION ---------
2021-11-05 13:55:51.618 STOP MOTION ----------
2021-11-05 13:56:35.419 START MOTION ---------
2021-11-05 13:56:39.453 STOP MOTION ----------
restart motion process
send SIGUSR1 to 9638
SIGUSR1 received
wait 5 sec for process to finish

2021-11-05 14:00:01.775 SIGUSR1 received, terminating video processing
[22;31m2021-11-05 14:00:01.776 Terminate application
[0m2021-11-05 14:00:01.776 Waiting for worker threads to join
2021-11-05 14:00:01.806 Motion detection thread joined
2021-11-05 14:00:01.806 Write packets thread joined
