Log saved to: /home/pi/2021-11-10_03h00m06s.log
Device manager connected to 192.168.1.10
Camera time set to: 2021-11-10 03:00:07
Device manager disconnected
Path to clean from old video files: /home/pi
2021-11-10 13:57:00.986 START MOTION ---------
2021-11-10 13:57:39.3 STOP MOTION ----------
2021-11-10 13:57:43.404 START MOTION ---------
2021-11-10 13:57:52.2 STOP MOTION ----------
2021-11-10 13:57:55.474 START MOTION ---------
2021-11-10 13:58:02.202 STOP MOTION ----------
2021-11-10 14:06:56.284 START MOTION ---------
2021-11-10 14:07:00.538 STOP MOTION ----------
2021-11-10 14:07:02.403 START MOTION ---------
no key frame found -> close output file
2021-11-10 14:07:14.349 STOP MOTION ----------
2021-11-10 14:10:48.472 START MOTION ---------
2021-11-10 14:10:52.246 STOP MOTION ----------
2021-11-10 14:17:08.353 START MOTION ---------
2021-11-10 14:17:17.977 STOP MOTION ----------
2021-11-10 14:37:12.811 START MOTION ---------
2021-11-10 14:37:36.277 STOP MOTION ----------
2021-11-10 14:39:17.564 START MOTION ---------
2021-11-10 14:39:27.20 STOP MOTION ----------
2021-11-10 14:48:04.26 START MOTION ---------
2021-11-10 14:48:20.632 STOP MOTION ----------
2021-11-10 14:48:32.509 START MOTION ---------
2021-11-10 14:48:48.564 STOP MOTION ----------
2021-11-10 14:54:59.77 START MOTION ---------
2021-11-10 14:55:03.533 STOP MOTION ----------
2021-11-10 14:56:39.755 START MOTION ---------
2021-11-10 14:56:46.917 STOP MOTION ----------
2021-11-10 14:56:52.64 START MOTION ---------
2021-11-10 14:56:57.794 STOP MOTION ----------
2021-11-10 15:08:41.484 START MOTION ---------
2021-11-10 15:08:54.518 STOP MOTION ----------
2021-11-10 15:10:04.628 START MOTION ---------
2021-11-10 15:10:15.274 STOP MOTION ----------
2021-11-10 15:14:37.636 START MOTION ---------
2021-11-10 15:15:01.472 STOP MOTION ----------
2021-11-10 15:24:52.412 START MOTION ---------
2021-11-10 15:25:05.222 STOP MOTION ----------
2021-11-10 15:34:28.591 START MOTION ---------
2021-11-10 15:35:01.293 STOP MOTION ----------
2021-11-10 15:35:49.710 START MOTION ---------
2021-11-10 15:36:00.561 STOP MOTION ----------
2021-11-10 15:36:03.161 START MOTION ---------
2021-11-10 15:36:05.363 STOP MOTION ----------
2021-11-10 15:36:09.602 START MOTION ---------
2021-11-10 15:36:14.521 STOP MOTION ----------
2021-11-10 15:36:23.52 START MOTION ---------
2021-11-10 15:36:26.518 STOP MOTION ----------
2021-11-10 15:49:08.595 START MOTION ---------
2021-11-10 15:49:12.454 STOP MOTION ----------
2021-11-10 16:11:59.958 START MOTION ---------
2021-11-10 16:12:11.729 STOP MOTION ----------
2021-11-10 16:19:15.704 START MOTION ---------
2021-11-10 16:19:19.260 STOP MOTION ----------
2021-11-10 16:21:08.194 START MOTION ---------
2021-11-10 16:21:23.328 STOP MOTION ----------
2021-11-10 16:21:26.113 START MOTION ---------
2021-11-10 16:21:34.871 STOP MOTION ----------
2021-11-10 16:21:56.188 START MOTION ---------
2021-11-10 16:22:04.857 STOP MOTION ----------
2021-11-10 16:22:54.818 START MOTION ---------
2021-11-10 16:23:12.167 STOP MOTION ----------
2021-11-10 16:25:33.267 START MOTION ---------
2021-11-10 16:25:37.714 STOP MOTION ----------
2021-11-10 16:26:21.59 START MOTION ---------
